source,campaign,plan,leave_reason,cnt,avg_days_to_churn,avg_months_since_signup
unknown,unknown,twoMonths,クーポン,6,9.0,26.0
unknown,unknown,twoMonths,値段が高いので。,6,183.0,34.5
unknown,unknown,oneMonth,美味しくなかった,6,92.0,42.8
unknown,unknown,twoMonths,特にない,6,294.0,43.7
unknown,unknown,oneMonth,高いので,6,42.0,51.5
unknown,unknown,oneMonth,値段,6,49.0,50.2
unknown,unknown,twoMonths,美味しくなかった,6,69.0,33.5
unknown,unknown,oneMonth,値段が高い。,6,82.0,40.3
unknown,unknown,twoMonths,クーポンが使えなかったため。,6,16.0,26.0
unknown,unknown,oneMonth,値段が高いので,6,129.0,39.3
unknown,unknown,twoMonths,クーポン併用不可の為,6,7.0,26.0
unknown,unknown,oneMonth,高いため,6,97.0,44.8
unknown,unknown,twoMonths,費用が高いため,6,25.0,35.8
unknown,unknown,oneMonth,利用しなくなったため,6,736.0,53.0
unknown,unknown,twoMonths,料金が高いから,6,31.0,37.3
unknown,unknown,twoMonths,ダイエットのため,6,144.0,37.5
unknown,unknown,twoMonths,必要がなくなったため,6,69.0,34.3
ads,newspaper_5d_2024,oneMonth,,6,125.0,11.7
unknown,unknown,oneMonth,コスパが悪い,6,107.0,39.8
unknown,unknown,oneMonth,家庭の事情,6,219.0,48.7
unknown,unknown,oneMonth,飽きた,6,236.0,45.0
unknown,unknown,twoMonths,冷凍庫に入らない,6,43.0,38.3
unknown,unknown,twoMonths,パンを食べなくなった,5,139.0,42.0
unknown,unknown,oneMonth,特にありません,5,190.0,47.0
unknown,unknown,twoMonths,食べきれないため,5,203.0,36.4
unknown,unknown,twoMonths,利用しない,5,365.0,40.0
unknown,unknown,twoMonths,パンを食べなくなったので,5,372.0,50.4
unknown,unknown,oneMonth,必要なくなったから,5,167.0,42.0
unknown,unknown,twoMonths,あまりパンを食べなくなったので。,5,396.0,45.0
unknown,unknown,twoMonths,値段が高かった,5,40.0,34.2
unknown,unknown,oneMonth,特にありません。,5,123.0,37.8
unknown,unknown,twoWeeks,特になし,5,66.0,40.0
unknown,unknown,twoMonths,退会します,5,103.0,30.6
unknown,unknown,oneMonth,テストのため,5,3.0,43.0
unknown,unknown,oneMonth,満足したため,5,102.0,42.0
unknown,unknown,twoMonths,費用が高い,5,89.0,41.0
unknown,unknown,oneMonth,値段が高いため。,5,74.0,48.2
unknown,unknown,twoMonths,価格が高いため。,5,76.0,30.4
unknown,unknown,oneMonth,特に無し,5,259.0,44.4
unknown,unknown,twoMonths,値段が高いと感じたため,5,27.0,36.2
unknown,unknown,twoMonths,価格が高い。,5,309.0,42.8
unknown,unknown,twoMonths,好みのパンではなかった,5,68.0,36.4
unknown,unknown,twoMonths,価格が高い為,5,94.0,42.4
unknown,unknown,twoMonths,一度試してみたかったから。,5,60.0,32.0
unknown,unknown,twoMonths,価格が高いので,5,121.0,42.4
unknown,unknown,twoMonths,少し高い,5,32.0,35.2
unknown,unknown,twoMonths,あまり美味しくなかった,5,102.0,43.0
unknown,unknown,twoMonths,クーポンが使えなかったから。,5,21.0,26.0
unknown,unknown,twoMonths,値段が高すぎる,5,225.0,41.0
unknown,unknown,oneMonth,体調不良のため,5,251.0,40.2
unknown,unknown,twoMonths,金額が高いので,5,169.0,44.0
unknown,unknown,twoMonths,ポイントサイト併用不可のため,5,2.0,26.0
unknown,unknown,twoMonths,クーポンが使えない,5,13.0,26.0
unknown,unknown,twoMonths,体調不良の為,5,131.0,40.2
unknown,unknown,oneMonth,テスト,5,68.0,28.2
unknown,unknown,oneMonth,ありがとうございました。,5,355.0,38.2
unknown,unknown,twoMonths,対応が悪い,5,30.0,26.0
unknown,unknown,twoMonths,とくになし,5,40.0,28.8
unknown,unknown,oneMonth,パンを食べなくなったから,5,372.0,47.6
unknown,unknown,twoMonths,利用しなくなったから,5,526.0,41.2
unknown,unknown,twoMonths,料金が高いため。,5,16.0,38.0
unknown,unknown,oneMonth,利用しないため,5,390.0,55.2
unknown,unknown,twoMonths,不要,5,27.0,29.0
unknown,unknown,oneMonth,お値段が高い,5,121.0,44.8
unknown,unknown,oneMonth,好みのパンではなかった,5,47.0,43.0
meta,ASC,oneMonth,(未記入),5,58.0,6.6
unknown,unknown,twoMonths,必要無くなった,5,37.0,29.2
unknown,unknown,twoMonths,料金が高いので。,5,89.0,32.0
unknown,unknown,oneMonth,金銭的理由,5,356.0,43.6
unknown,unknown,oneMonth,満足したから,5,109.0,47.4
alliance-coupon,aeoncard_202310,oneMonth,,5,64.0,5.2
unknown,unknown,oneMonth,金額が高い。,4,24.0,38.8
unknown,unknown,twoMonths,ありがとうございました。,4,169.0,36.5
unknown,unknown,twoMonths,クーポン利用不可,4,10.0,26.0
unknown,unknown,twoWeeks,高い,4,38.0,42.5
unknown,unknown,twoMonths,料金が高い為,4,35.0,39.5
unknown,unknown,oneMonth,値段が高い為,4,76.0,37.5
unknown,unknown,oneMonth,料金,4,103.0,42.5
unknown,unknown,oneMonth,体調不良の為,4,86.0,45.8
unknown,unknown,twoMonths,クーポンが使えないので,4,9.0,26.0
unknown,unknown,twoMonths,使わない,4,338.0,40.8
unknown,unknown,twoMonths,特にありません,4,113.0,32.3
unknown,unknown,oneMonth,引越しのため,4,140.0,57.3
unknown,unknown,oneMonth,必要無くなったから,4,175.0,52.3
unknown,unknown,twoMonths,必要がなくなった,4,284.0,39.5
unknown,unknown,oneMonth,。,4,57.0,37.5
unknown,unknown,oneMonth,必要がなくなったため,4,211.0,51.5
unknown,unknown,oneMonth,不要,4,40.0,36.0
unknown,unknown,twoMonths,値段が高いから。,4,57.0,37.0
unknown,unknown,oneMonth,高いです,4,48.0,43.0
unknown,unknown,twoMonths,不要になったから,4,26.0,33.8
unknown,unknown,twoMonths,必要無くなったから,4,45.0,32.0
unknown,unknown,twoMonths,料金,4,20.0,37.0
unknown,unknown,oneMonth,節約のため。,4,344.0,46.8
unknown,unknown,oneMonth,美味しくない,4,43.0,37.3
unknown,unknown,twoMonths,クーポンが使用できないため,4,22.0,26.0
unknown,unknown,twoMonths,不要になったため,4,383.0,41.0
unknown,unknown,oneMonth,少し高い,4,84.0,41.5
unknown,unknown,twoMonths,飽きました,4,267.0,44.0
unknown,unknown,oneMonth,トラッキングテスト,4,0.0,34.0
unknown,unknown,twoMonths,引っ越すため,4,203.0,35.8
unknown,unknown,oneMonth,高すぎる,4,15.0,46.0
unknown,unknown,oneMonth,興味が無くなったから,4,410.0,42.8
unknown,unknown,twoMonths,値段が高いため。,4,41.0,33.8
unknown,unknown,twoMonths,コスパが良くない,4,62.0,34.3
unknown,unknown,oneMonth,テスト購入,4,0.0,59.0
unknown,unknown,twoMonths,お値段が高い,4,69.0,29.5
unknown,unknown,twoMonths,使用しないため,4,315.0,42.5
unknown,unknown,oneMonth,価格が高いため,4,52.0,37.8
unknown,unknown,oneMonth,飽きたので,4,226.0,45.3
unknown,unknown,twoMonths,クーポンとポイントサイトの併用ができなかったため。,4,3.0,26.0
unknown,unknown,oneMonth,ハード系のパンが多いため,4,230.0,36.3
unknown,unknown,twoMonths,クーポンが使えないため。,4,2.0,26.0
unknown,unknown,oneMonth,経済的な理由です。,4,340.0,47.8
unknown,unknown,oneMonth,経済的理由です。,4,199.0,43.5
unknown,unknown,oneMonth,test,4,15.0,35.0
unknown,unknown,twoMonths,利用しなくなった,4,263.0,39.3
unknown,unknown,oneMonth,パンをあまり食べなくなった,4,216.0,49.8
unknown,unknown,twoMonths,思っていたのと違った,4,20.0,37.8
unknown,unknown,oneMonth,体調不良,4,322.0,41.0
unknown,unknown,oneMonth,不要になった,4,420.0,52.0
unknown,unknown,twoMonths,美味しくない,4,137.0,48.0
unknown,unknown,twoMonths,金銭的な問題,4,139.0,37.5
unknown,unknown,twoMonths,ポイントサイトとクーポンが併用不可のため,4,2.0,26.0
unknown,unknown,oneMonth,"高い
",4,123.0,57.3
unknown,unknown,oneMonth,好みのパンが届かなかった,4,83.0,50.0
unknown,unknown,twoMonths,パンを食べなくなったため。,4,158.0,34.5
unknown,unknown,twoMonths,ダイエットの為,4,137.0,32.8
unknown,unknown,twoMonths,お値段が高いので,4,93.0,43.5
unknown,unknown,twoMonths,クーポン使えないため,4,2.0,26.0
unknown,unknown,twoMonths,あまりパンを食べなくなった,4,701.0,51.0
unknown,unknown,twoMonths,クーポン使えなかった,4,9.0,26.0
unknown,unknown,oneMonth,満足したので,4,104.0,46.3
unknown,unknown,oneMonth,必要がなくなった,4,330.0,41.8
unknown,unknown,twoMonths,割高だから,4,298.0,40.0
unknown,unknown,twoMonths,クーポン利用できなかったため,3,21.0,26.0
unknown,unknown,oneMonth,病気療養のため,3,173.0,31.3
unknown,unknown,twoMonths,すみません。,3,2.0,26.0
unknown,unknown,twoMonths,料金が高いから。,3,56.0,35.3
unknown,unknown,oneMonth,送料が高い,3,15.0,38.3
unknown,unknown,twoMonths,割高感があるため,3,241.0,37.7
unknown,unknown,oneMonth,高いです。,3,103.0,57.3
unknown,unknown,twoMonths,クーポン利用できないため,3,3.0,26.0
unknown,unknown,twoMonths,好みのパンがなかった,3,80.0,50.7
meta,INT,oneMonth,,3,78.0,10.0
unknown,unknown,oneMonth,ない,3,77.0,46.3
unknown,unknown,twoMonths,食べなくなったので,3,361.0,45.3
unknown,unknown,oneMonth,引っ越しのため,3,540.0,48.3
unknown,unknown,twoMonths,クーポン使えないから,3,23.0,26.0
unknown,unknown,twoMonths,クーポン利用不可のため。,3,12.0,26.0
unknown,unknown,twoMonths,クーポンとポイントサイト併用不可のため,3,2.0,26.0
unknown,unknown,twoMonths,利用しないから,3,200.0,36.3
unknown,unknown,twoMonths,条件が違ったため,3,6.0,26.0
unknown,unknown,twoMonths,クーポンが使用できなかったため。,3,21.0,26.0
unknown,unknown,oneMonth,おいしくない,3,106.0,39.0
unknown,unknown,oneMonth,好みのパンが少なかった,3,121.0,43.0
unknown,unknown,twoMonths,クーポン使えなかったから,3,12.0,26.0
unknown,unknown,twoMonths,好みのパンではなかったため,3,83.0,39.3
unknown,unknown,twoMonths,好みのパンではなかったので。,3,47.0,28.3
unknown,unknown,twoMonths,使わないので,3,84.0,31.0
unknown,unknown,twoMonths,必要なくなったから。,3,573.0,44.7
unknown,unknown,oneMonth,割高感,3,72.0,48.0
unknown,unknown,oneMonth,少し高いので,3,51.0,48.3
unknown,unknown,twoMonths,必要なくなったため。,3,90.0,28.0
alliance-coupon,ruum_202304,oneMonth,,3,58.0,7.0
unknown,unknown,oneMonth,会費が高い,3,25.0,50.7
unknown,unknown,oneMonth,クーポンが使えない,3,3.0,33.3
unknown,unknown,twoMonths,　　,3,20.0,36.7
unknown,unknown,oneMonth,冷凍庫に入らない,3,72.0,40.3
unknown,unknown,twoMonths,クーポンとポイントサイトの併用不可のため,3,11.0,26.0
unknown,unknown,oneMonth,あまり食べない,3,53.0,39.0
unknown,unknown,twoMonths,なんとなく,3,297.0,51.7
unknown,unknown,oneMonth,思ったより高かった,3,12.0,52.7
unknown,unknown,twoMonths,.,3,268.0,37.0
unknown,unknown,oneMonth,体調不良のため。,3,150.0,38.3
unknown,unknown,twoMonths,必要無くなったため,3,16.0,31.0
unknown,unknown,oneMonth,不要のため,3,53.0,34.3
unknown,unknown,twoMonths,金欠,3,63.0,38.0
unknown,unknown,twoMonths,クーポン併用ができなかったため,3,3.0,26.0
unknown,unknown,oneMonth,高い。,3,27.0,51.7
unknown,unknown,oneMonth,CVテストの為,3,0.0,33.0
unknown,unknown,oneMonth,金額が高い為,3,136.0,38.3
unknown,unknown,twoMonths,その他,3,12.0,46.7
unknown,unknown,oneMonth,高いので。,3,34.0,57.3
unknown,unknown,oneMonth,海外転勤のため,3,510.0,56.0
unknown,unknown,twoMonths,クーポンの併用利用無効のため,3,8.0,26.0
unknown,unknown,oneMonth,一身上の都合,3,222.0,47.3
unknown,unknown,twoMonths,高いので。,3,45.0,34.0
unknown,unknown,oneMonth,値段が少し高い,3,98.0,41.3
unknown,unknown,twoMonths,ポイントサイトと併用できなかったので,3,3.0,26.0
unknown,unknown,oneMonth,特にないです,3,248.0,50.0
unknown,unknown,oneMonth,あまり美味しくなかった。,3,57.0,51.3
unknown,unknown,twoMonths,クーポンが利用できなかった為,3,16.0,26.0
unknown,unknown,oneMonth,必要がなくなった為,3,242.0,52.0
unknown,unknown,oneMonth,パンが美味しくない,3,90.0,48.0
unknown,unknown,oneMonth,好みのパンが届かない,3,153.0,39.3
unknown,unknown,twoMonths,引越しのため,3,82.0,38.3
